labels,text
"['copy', 'today', 'pleasure', 'things', 'one', 'important']","Pleasure from meat is one of the most important things we have , and today we can't copy it when we adopt vegetarianism"
"['reduction', 'general', 'alleviate', 'required', 'order', 'harms']","In order to alleviate the harms of meat production, vegetarianism is not required by most people, only the general reduction of meat consumption."
"['rights', 'higher', 'order']","Even if animals have rights, it is clear that humans have rights of a higher order. Eating animals generates utility for humans - it is better to satisfy the entity with higher order rights."
"['access', 'pleasure', 'hurt', 'poor', 'around', 'means']","Most poor people around the world don't have access to meat alternatives, which means vegetarianism can hurt their health and food pleasure"
"['protein', 'quality', 'higher']",Meat and meat-derived protein is higher quality than vegetarian protein substitutes.
"['butcher', 'destroyed', 'companies', 'sell', 'ship']","Companies that ship or sell meat, such as butcher shops, would be destroyed if vegetarianism were enforced."
"['substitutes', 'nutrition', 'would', 'access']","We should not adopt vegetarianism because many people would not have access to healthy substitutes for meat, so their nutrition would decline."
"['banning', 'hurting', 'express', 'eating', 'traditions', 'cultures']",Many cultures have traditions of eating meat; by banning eating meat you are hurting the rights of humans to express themselves.
"['configurations', 'already']","This would collapse Latin American democracies (Brazil, Uruguay etc.), whose political configurations have already been weakened by anemic international economic growth for luxury food items (steak particularly)"
"['dietary', 'average', 'decrease', 'would', 'source', 'person']","Meat is a major source of protein and other dietary needs, and vegetarianism would decrease the amount of these that the average person would consume."
"['dies', 'crucial', 'main', 'source']","Meat is a main source of protein and iron, therefore meat is a crucial part of a healthy dies and vegetarianism is unhealthy"
"['last', 'studies']","Meat is very healthy, for everyone, proven in many studies around the world over the last hundreds of years. vegetarianism takes away this opportunity from humans of getting healthier and stronger."
"['butcher', 'destroyed', 'companies', 'sell', 'ship']","Companies that ship or sell meat, such as butcher shops, would be destroyed if vegetarianism were enforced."
"['backlash', 'sustainable', 'huge', 'create']",We should not adopt vegetarianism because it would create a huge backlash against sustainable living.
"['protein', 'securing', 'difficulty']","Animals provide protein which humans would have difficulty securing otherwise. While other sources of protein exist, they tend to be more expensive and thus difficult to access for the poor."
"['slave', 'slaves', 'fewer', 'labor']","Agriculture is based more on human slave labor than the meat industry, therefore by eating meat (and fewer plants) you rely less on slaves and support better working conditions"
"['vegatarian', 'supplements', 'b12', 'iron']","To have healthy vegatarian diet you will need a lot of supplements like b12 and iron which are expansive, the poor will be also sick."
"['actions', 'inevitable', 'outcome', 'put', 'numbers', 'government']","The government should not take actions which put huge numbers of people out of work, which would be an inevitable outcome of enforced vegetarianism."
"['prone', 'enough']","Vegetarian diets don't have enough iron, calcium, and other minerals, making people more prone to disease and injury."
"['healthy', 'unable', 'muscle', 'develop', 'enough']",Vegetarians are unable to get enough protein to live a healthy life and develop healthy muscle mass.
"['sale', 'safety', 'regulation', 'protections', 'enforce', 'attempting']",Attempting to enforce vegetarianism would create a black market for meat that has less safety regulation on the sale of meat and no protections for workers.
"['nutritionally', 'easier', 'balanced', 'products', 'part', 'diet']",Eating a nutritionally balanced diet is easier if animal products are part of it
"['right', 'desires']","Any sort of legal requirement for vegetarianism would be unjust, as the right to consume what one desires should be a fundamental right so long as it doesn't violate another person's bodily autonomy."
"['dietary', 'average', 'decrease', 'would', 'source', 'person']","Meat is a major source of protein and other dietary needs, and vegetarianism would decrease the amount of these that the average person would consume."
"['nutritionally', 'easier', 'balanced', 'products', 'part', 'diet']",Eating a nutritionally balanced diet is easier if animal products are part of it
"['many', 'equate']","Vegetarianism does not equate to having a healthy diet, as many people avoid eating meat but still eat many unhealthy things and have diets that are high in sugars, carbs, or fats."
"['religion', 'unwanted', 'include', 'ceremonies']","There are religion ceremonies that include eating meat, being vegeterian will make us unable to fully take a part in them, so we will feel out of the group, unwanted (and go against god's will)."
"['economic', 'cost', 'replaced', 'activity']",Adopting vegetarianism will have a massive economic cost since you will lose all jobs and economic activity from the meat industry and it will not be replaced by crops.
"['changing', 'flooding', 'patterns', 'degradation', 'agriculture']",We should not adopt vegetarianism because changing patterns of agriculture would lead to flooding and land degradation
"['holidays', 'traditions', 'part', 'important']","Meat eating is am important part in many traditions holidays and religions,there for we can't adopt vegetarianism"
"['sale', 'safety', 'regulation', 'protections', 'enforce', 'attempting']",Attempting to enforce vegetarianism would create a black market for meat that has less safety regulation on the sale of meat and no protections for workers.
"['millions', 'income', 'jeopardize', 'towns', 'hires']","The meat industry hires millions of workers around the world and is the main source of income for many towns and cities, vegetarianism would jeopardize the livelihood of millions."
"['adequate', 'absorbed', 'amounts', 'supplements', 'found', 'require']","Humans require B12, which is only found in adequate amounts in meat, and supplements aren't absorbed by some individuals, making a vegetarian lifestyle unhealthy"
"['stop', 'maybe', 'keep', 'little', 'maintain', 'cut']","You do not have to adopt vegetarianism to keep you healthy. You can maintain a balanced diet and maybe even cut a little on the red-meat, but you do have not stop eating meat completely."
"['detrimental', 'soy', 'hormones', 'consumed', 'rely', 'forced']","We should not adopt vegetarianism because most people would be forced to rely on soy for protein without meat, which has hormones in it that are detrimental if consumed in excess."
"['massively', 'negative', 'sector', 'shift', 'impact', 'large']","A widespread shift to vegetarianism would have a massively negative impact on meat production, which is a large sector of the global economy."
"['adverse', 'quantities']","High quantities of soy, grain, starch, or any food common for vegetarians can have adverse health effects."
"['areas', 'east', 'soil', 'africa', 'producing', 'efficient']","In some areas (e.g., East Africa and other poor soil areas), livestock is the most efficient means of producing food."
"['last', 'studies']","Meat is very healthy, for everyone, proven in many studies around the world over the last hundreds of years. vegetarianism takes away this opportunity from humans of getting healthier and stronger."
"['refusing', 'anything', 'party', 'third', 'includes', 'ability']","Individuals should have the ability to do or consume anything which doesn't cause direct, considerable third party harms, which includes meat consumption and refusing vegetarianism."
"['access', 'pleasure', 'hurt', 'poor', 'around', 'means']","Most poor people around the world don't have access to meat alternatives, which means vegetarianism can hurt their health and food pleasure"
"['heritage', 'removing', 'certain', 'harm', 'cultures']",Meat is an important part of certain cultures traditions. Removing it from their diets would harm their heritage
"['vegatarian', 'supplements', 'b12', 'iron']","To have healthy vegatarian diet you will need a lot of supplements like b12 and iron which are expansive, the poor will be also sick."
"['voices', 'prefer']","By adopting vegetarianism as a society, we are necessarily silencing voices that would prefer eating meat. of course, we are allowing other voices to be heard, but hurt the fundamental right of choice for others."
"['heritage', 'removing', 'certain', 'harm', 'cultures']",Meat is an important part of certain cultures traditions. Removing it from their diets would harm their heritage
"['many', 'equate']","Vegetarianism does not equate to having a healthy diet, as many people avoid eating meat but still eat many unhealthy things and have diets that are high in sugars, carbs, or fats."
"['autonomy', 'personal', 'violation', 'adopt']",We should not adopt vegetarianism because this is a violation of personal autonomy
"['areas', 'east', 'soil', 'africa', 'producing', 'efficient']","In some areas (e.g., East Africa and other poor soil areas), livestock is the most efficient means of producing food."
"['protein', 'quality', 'higher']",Meat and meat-derived protein is higher quality than vegetarian protein substitutes.
"['chemical', 'vitamin', 'prone', 'inclusive']","Vegetarianism is prone to protein, vitamin B12, Zinc, and other important chemical deficiencies, making meat inclusive diets healthier."
"['banning', 'hurting', 'express', 'eating', 'traditions', 'cultures']",Many cultures have traditions of eating meat; by banning eating meat you are hurting the rights of humans to express themselves.
"['last', 'studies']","Meat is very healthy, for everyone, proven in many studies around the world over the last hundreds of years. vegetarianism takes away this opportunity from humans of getting healthier and stronger."
"['concern', 'primary', 'meal', 'needs', 'balanced']",Our needs as humans are our primary concern and it is difficult to eat a balanced meal and get all the nutrients we need without eating animals.
"['get', 'herbicides', 'doused', 'though', 'farmed', 'pesticides']","Even though vegetarians avoid the hormones and antibiotics in meat, they still get very high doses of all the pesticides and herbicides that get doused over farmed plants."
"['reduction', 'general', 'alleviate', 'required', 'order', 'harms']","In order to alleviate the harms of meat production, vegetarianism is not required by most people, only the general reduction of meat consumption."
"['painless', 'slaughterhouses', 'quick', 'problem', 'consciousness', 'provide']","There is no moral problem in eating meat. Animals have no consciousness like human beings, and slaughterhouses provide them with a quick and painless death. Therefore, we do not have to adopt vegetarianism."
"['abstain', 'predominantly', 'vitamins', 'come', 'nutrients']","There are nutrients and vitamins that come predominantly from meat products, and people who abstain from them are likely to be less healthy."
"['happy', 'whatever']","Many people feel better on a meat-inclusive diet, and people should do whatever makes them happy and functional, so they should only adopt vegetarianism if they want to (not because of social coercion)."
"['raised', 'deforestation', 'harvesting', 'considerable', 'takes', 'lead']",Harvesting plants for vegetarianism takes a considerable amount of land and would likely lead to deforestation if animals could not be raised
"['heritage', 'removing', 'certain', 'harm', 'cultures']",Meat is an important part of certain cultures traditions. Removing it from their diets would harm their heritage
"['manufacture', 'whose', 'highly', 'processed', 'contributes', 'rely']",Many vegetarian diets are unhealthy and rely on highly processed food products whose manufacture contributes to climate change.
"['expressing', 'illegal', 'potential', 'swath', 'considered', 'forcing']",The government is expressing power over people's bodies in an illegal way by removing a massive swath of potential food items from being considered by forcing vegetarianism on its citizens.
"['many', 'equate']","Vegetarianism does not equate to having a healthy diet, as many people avoid eating meat but still eat many unhealthy things and have diets that are high in sugars, carbs, or fats."
"['harm', 'alrenatives', 'mostly', 'hard']","vegetarianism will harm our body, there are important things that are mostly found in meat that are hard to find alrenatives for (and those are pricier, which will harm the poor)"
"['readily', 'anemic', 'lack', 'accessible', 'sources', 'protein']",People will be anemic and lack protein if there aren't readily accessible sources
"['hard', 'come', 'sources']","We should not adopt vegetarianism because some nutrients, like omega-3 acids, are hard to come by from sources other than meat."
"['rights', 'relationship', 'stem', 'conception', 'fundamentally']","Rights stem from one's relationship with the state, meaning a vegetarian conception of rights for animals is fundamentally illogical."
"['species', 'extinct']","Without farms breeding and high yield species of cow, chicken, and pigs, these species would go extinct due to vegetarianism as they do not have adaptations to protect them in nature."
"['farming', 'free', 'ensure', 'treated', 'methods']","There are methods of meat production such as free range farming that allow for people to eat meat but still ensure animals are treated humanely, meaning that you can be moral without a meatless diet."
"['inaccessible', 'understand', 'mechanisms', 'communities', 'dishes', 'cultures']","Many cultures have meat based dishes which are important for their communities and the mechanisms by which they understand their history, which are inaccessible through vegetarianism."
"['right', 'might', 'ethically', 'sourced', 'excessively']","Animals might have the right not to excessively suffer, but not the right not to be eaten, this means that you don't need to adopt vegetarianism as long as you eat ethically sourced meat."
"['eat', 'pollutes', 'chicken', 'little', 'protect']",You do not have to adopt vegetarianism to protect the environment. You can eat chicken that pollutes less or just eat a little meat.
"['hard', 'come', 'sources']","We should not adopt vegetarianism because some nutrients, like omega-3 acids, are hard to come by from sources other than meat."
"['black', 'drug']","A black market created by enforced vegetarianism would make it easier for more dangerous black markets, such as the drug and weapons markets, to find social acceptance and hide among less heinous markets."
"['skip', 'follow', 'vegetarian', 'meals', 'may', 'find']",Vegetarian diets are difficult to follow and may cause individuals to skip meals if they can't find vegetarian options.
"['get', 'herbicides', 'doused', 'though', 'farmed', 'pesticides']","Even though vegetarians avoid the hormones and antibiotics in meat, they still get very high doses of all the pesticides and herbicides that get doused over farmed plants."
"['slaughtered', 'ship', 'worse']","Animals are easier to ship around the world, as they do not need to be slaughtered until they are received, leading to less spoilage, making vegetarianism worse for food preservation."
"['immune', 'central', 'nervous', 'system', 'provides', 'saturated']",Meat provides healthy saturated fats that vegetarians don't get enough of and are important to immune and central nervous system functioning.
"['information', 'force', 'idea', 'vegan', 'give', 'forced']","Adopting vegan life can’t be forced on people,we need to give them the information and idea but not force vegetarian"
"['proteins', 'malnutrition', 'chances', 'anemia', 'lack', 'increases']",Becoming vegetarian is unhealthy. Not eating meat increases the chances of anemia and malnutrition because of the lack of proteins and iron.
"['prone', 'enough']","Vegetarian diets don't have enough iron, calcium, and other minerals, making people more prone to disease and injury."
"['inaccessible', 'understand', 'mechanisms', 'communities', 'dishes', 'cultures']","Many cultures have meat based dishes which are important for their communities and the mechanisms by which they understand their history, which are inaccessible through vegetarianism."
"['last', 'studies']","Meat is very healthy, for everyone, proven in many studies around the world over the last hundreds of years. vegetarianism takes away this opportunity from humans of getting healthier and stronger."
"['many', 'equate']","Vegetarianism does not equate to having a healthy diet, as many people avoid eating meat but still eat many unhealthy things and have diets that are high in sugars, carbs, or fats."
"['detrimental', 'soy', 'hormones', 'consumed', 'rely', 'forced']","We should not adopt vegetarianism because most people would be forced to rely on soy for protein without meat, which has hormones in it that are detrimental if consumed in excess."
"['slaughtered', 'ship', 'worse']","Animals are easier to ship around the world, as they do not need to be slaughtered until they are received, leading to less spoilage, making vegetarianism worse for food preservation."
"['butcher', 'destroyed', 'companies', 'sell', 'ship']","Companies that ship or sell meat, such as butcher shops, would be destroyed if vegetarianism were enforced."
"['protein', 'quality', 'higher']",Meat and meat-derived protein is higher quality than vegetarian protein substitutes.
"['evidence', 'healthier', 'eating']",There is no evidence that vegetarianism is healthier than eating meat.
"['heritage', 'removing', 'certain', 'harm', 'cultures']",Meat is an important part of certain cultures traditions. Removing it from their diets would harm their heritage
"['rests', 'legitimacy', 'policy', 'public', 'want']","We should not adopt vegetarianism because most people do not want to, and the legitimacy of a policy rests with the public will."
"['impossible', 'ability', 'decide', 'fundamental', 'individuals', 'enforced']","Individuals should have the ability to decide what they consume which is impossible through enforced vegetarianism, as it is fundamental to the way they live their lives."
"['slave', 'slaves', 'fewer', 'labor']","Agriculture is based more on human slave labor than the meat industry, therefore by eating meat (and fewer plants) you rely less on slaves and support better working conditions"
"['rests', 'legitimacy', 'policy', 'public', 'want']","We should not adopt vegetarianism because most people do not want to, and the legitimacy of a policy rests with the public will."
"['bone', 'low']","Vegetarianism contributes to low bone density since there isn't enough calcium in the diet, which can cause long term issues with bone stability and strength."
"['hard', 'come', 'sources']","We should not adopt vegetarianism because some nutrients, like omega-3 acids, are hard to come by from sources other than meat."
"['style', 'live', 'without', 'life', 'possiable']",Even if it is possiable to live a healthy life style without meat it is very difficult which means most people will live an unhealthy life style without meat.
"['connection', 'traditional', 'family', 'undermine', 'food']","We should not adopt vegetarianism because it would undermine the traditional food culture, and food is an important part of people's connection to their family and community."
"['dies', 'crucial', 'main', 'source']","Meat is a main source of protein and iron, therefore meat is a crucial part of a healthy dies and vegetarianism is unhealthy"
"['abstain', 'predominantly', 'vitamins', 'come', 'nutrients']","There are nutrients and vitamins that come predominantly from meat products, and people who abstain from them are likely to be less healthy."
"['kills', 'underground', 'tilling']","In agriculture more animals are killed (pest extermination, tilling land kills underground dwellers, etc) than in the meat industry. Therefore by eating more meat and less plants you actually save lives"
"['slave', 'slaves', 'fewer', 'labor']","Agriculture is based more on human slave labor than the meat industry, therefore by eating meat (and fewer plants) you rely less on slaves and support better working conditions"
"['millions', 'income', 'jeopardize', 'towns', 'hires']","The meat industry hires millions of workers around the world and is the main source of income for many towns and cities, vegetarianism would jeopardize the livelihood of millions."
"['alcohol', 'undermining']",Most banned substances have seen a greater use in society (as with alcohol in the US in the 1920s); by making a national policy adopting vegetarianism we risk increasing consumption and undermining our effort.
"['neglect', 'crueler']","Individuals would likely neglect their animals or release them into the wild if they could no longer sell them because vegetarianism, where they would die of starvation, be eaten, or face an even crueler fate."
"['intrinsic', 'intangible', 'moving', 'loss', 'national']","Meat-based dishes are an intrinsic part of ethnic, national and human culture, and moving on from that is a loss of intangible cultural value."
"['dangerous', 'drive']","Many children develop eating disorders, which could be very dangerous. Vegetarianism sends a dangerous message that some food is wrong, and that can drive such disorders."
"['manufacture', 'whose', 'highly', 'processed', 'contributes', 'rely']",Many vegetarian diets are unhealthy and rely on highly processed food products whose manufacture contributes to climate change.
"['evidence', 'healthier', 'eating']",There is no evidence that vegetarianism is healthier than eating meat.
"['concern', 'primary', 'meal', 'needs', 'balanced']",Our needs as humans are our primary concern and it is difficult to eat a balanced meal and get all the nutrients we need without eating animals.
"['prone', 'enough']","Vegetarian diets don't have enough iron, calcium, and other minerals, making people more prone to disease and injury."
"['mandate', 'regulations', 'legislative', 'current', 'expand', 'ethical']","There are a lot of current legislative regulations that mandate ethical slaughter of animals, we just need to expand and enforce them instead of going vegetarian."
"['nutritionally', 'easier', 'balanced', 'products', 'part', 'diet']",Eating a nutritionally balanced diet is easier if animal products are part of it
"['farming', 'free', 'ensure', 'treated', 'methods']","There are methods of meat production such as free range farming that allow for people to eat meat but still ensure animals are treated humanely, meaning that you can be moral without a meatless diet."
"['millions', 'income', 'jeopardize', 'towns', 'hires']","The meat industry hires millions of workers around the world and is the main source of income for many towns and cities, vegetarianism would jeopardize the livelihood of millions."
"['get', 'herbicides', 'doused', 'though', 'farmed', 'pesticides']","Even though vegetarians avoid the hormones and antibiotics in meat, they still get very high doses of all the pesticides and herbicides that get doused over farmed plants."
"['changing', 'flooding', 'patterns', 'degradation', 'agriculture']",We should not adopt vegetarianism because changing patterns of agriculture would lead to flooding and land degradation
"['thousands', 'provides', 'fish', 'hundreds', 'away', 'take']",The meat and fish production industry provides a living to hundreds of thousands of people worldwide. Vegetarianism will take away they means of livelihood.
"['abstain', 'predominantly', 'vitamins', 'come', 'nutrients']","There are nutrients and vitamins that come predominantly from meat products, and people who abstain from them are likely to be less healthy."
"['intrinsic', 'intangible', 'moving', 'loss', 'national']","Meat-based dishes are an intrinsic part of ethnic, national and human culture, and moving on from that is a loss of intangible cultural value."
"['adverse', 'quantities']","High quantities of soy, grain, starch, or any food common for vegetarians can have adverse health effects."
"['farming', 'free', 'ensure', 'treated', 'methods']","There are methods of meat production such as free range farming that allow for people to eat meat but still ensure animals are treated humanely, meaning that you can be moral without a meatless diet."
"['impossible', 'ability', 'decide', 'fundamental', 'individuals', 'enforced']","Individuals should have the ability to decide what they consume which is impossible through enforced vegetarianism, as it is fundamental to the way they live their lives."
"['mandate', 'regulations', 'legislative', 'current', 'expand', 'ethical']","There are a lot of current legislative regulations that mandate ethical slaughter of animals, we just need to expand and enforce them instead of going vegetarian."
"['abstain', 'predominantly', 'vitamins', 'come', 'nutrients']","There are nutrients and vitamins that come predominantly from meat products, and people who abstain from them are likely to be less healthy."
"['refusing', 'anything', 'party', 'third', 'includes', 'ability']","Individuals should have the ability to do or consume anything which doesn't cause direct, considerable third party harms, which includes meat consumption and refusing vegetarianism."
"['substitutes', 'nutrition', 'would', 'access']","We should not adopt vegetarianism because many people would not have access to healthy substitutes for meat, so their nutrition would decline."
"['harvest', 'devastated', 'evolved', 'local', 'fishing', 'forced']",Cultures that evolved through fishing and local harvest would be devastated if they could not consume meat and were forced to be vegetarians.
"['eat', 'pollutes', 'chicken', 'little', 'protect']",You do not have to adopt vegetarianism to protect the environment. You can eat chicken that pollutes less or just eat a little meat.
"['expressing', 'illegal', 'potential', 'swath', 'considered', 'forcing']",The government is expressing power over people's bodies in an illegal way by removing a massive swath of potential food items from being considered by forcing vegetarianism on its citizens.
"['last', 'studies']","Meat is very healthy, for everyone, proven in many studies around the world over the last hundreds of years. vegetarianism takes away this opportunity from humans of getting healthier and stronger."
"['pregnant', 'woman', 'enough', 'get']",Vegetarianism is not healthy for pregnant woman because they don't get enough nutrients.
"['skip', 'follow', 'vegetarian', 'meals', 'may', 'find']",Vegetarian diets are difficult to follow and may cause individuals to skip meals if they can't find vegetarian options.
"['themself', 'beasue', 'supervision', 'portion', 'example', 'lack']","Most people who adopt vegetarianism, do it without supervision and hurt themself beasue if it, for example lack of Iron or portion"
"['slaughtered', 'ship', 'worse']","Animals are easier to ship around the world, as they do not need to be slaughtered until they are received, leading to less spoilage, making vegetarianism worse for food preservation."
"['chemical', 'vitamin', 'prone', 'inclusive']","Vegetarianism is prone to protein, vitamin B12, Zinc, and other important chemical deficiencies, making meat inclusive diets healthier."
"['sale', 'safety', 'regulation', 'protections', 'enforce', 'attempting']",Attempting to enforce vegetarianism would create a black market for meat that has less safety regulation on the sale of meat and no protections for workers.
"['skip', 'follow', 'vegetarian', 'meals', 'may', 'find']",Vegetarian diets are difficult to follow and may cause individuals to skip meals if they can't find vegetarian options.
"['religious', 'holy', 'religions', 'certain', 'require', 'violation']","Many religions require the consumption of meat on certain holy days, making enforced vegetarianism a violation of religious freedom."
"['deserving', 'cognition', 'demonstrated', 'standing', 'societies']",Animals have not demonstrated cognition or societies and are therefore not deserving of moral standing through vegetarianism.
"['detrimental', 'soy', 'hormones', 'consumed', 'rely', 'forced']","We should not adopt vegetarianism because most people would be forced to rely on soy for protein without meat, which has hormones in it that are detrimental if consumed in excess."
"['massively', 'negative', 'sector', 'shift', 'impact', 'large']","A widespread shift to vegetarianism would have a massively negative impact on meat production, which is a large sector of the global economy."
"['access', 'pleasure', 'hurt', 'poor', 'around', 'means']","Most poor people around the world don't have access to meat alternatives, which means vegetarianism can hurt their health and food pleasure"
"['us', 'millions', 'right']","people shouldn't be vegetarian because us, and our ancestors, have been doing so for millions of years, that's the right way for us to live."
"['enjoying', 'move', 'alot', 'culture', 'big']",Eating meat is very enjoying to alot of people and a big part of their culture and life style. If we move to vegetarianism we will reduce human happiness.
"['climates', 'arid', 'types', 'raised', 'countries', 'individual']","Animals can be raised in more climates than individual types of vegetables, making food more accessible for dry, arid countries that do not adopt vegetarianism."
"['dangerous', 'drive']","Many children develop eating disorders, which could be very dangerous. Vegetarianism sends a dangerous message that some food is wrong, and that can drive such disorders."
"['sale', 'safety', 'regulation', 'protections', 'enforce', 'attempting']",Attempting to enforce vegetarianism would create a black market for meat that has less safety regulation on the sale of meat and no protections for workers.
"['unlikely', 'shorter', 'something', 'exteremely', 'implication', 'real']","Since unlike humans, farm animals are exteremely unlikely to do something significant in their lifetime, there is no moral or real world implication to an animal having a shorter life."
"['last', 'studies']","Meat is very healthy, for everyone, proven in many studies around the world over the last hundreds of years. vegetarianism takes away this opportunity from humans of getting healthier and stronger."
"['black', 'drug']","A black market created by enforced vegetarianism would make it easier for more dangerous black markets, such as the drug and weapons markets, to find social acceptance and hide among less heinous markets."
"['rid', 'thousands', 'destroy', 'getting', 'hundreds', 'farms']","Getting rid of all animal farms would destroy hundreds of thousands of jobs around the world, making vegetarianism dangerous."
"['actions', 'inevitable', 'outcome', 'put', 'numbers', 'government']","The government should not take actions which put huge numbers of people out of work, which would be an inevitable outcome of enforced vegetarianism."
"['slaughtered', 'ship', 'worse']","Animals are easier to ship around the world, as they do not need to be slaughtered until they are received, leading to less spoilage, making vegetarianism worse for food preservation."
"['style', 'live', 'without', 'life', 'possiable']",Even if it is possiable to live a healthy life style without meat it is very difficult which means most people will live an unhealthy life style without meat.
"['harder', 'balanced', 'things', 'get', 'need', 'diet']",It's harder to get all the things you need for a balanced diet while being vegetarian.
"['immune', 'central', 'nervous', 'system', 'provides', 'saturated']",Meat provides healthy saturated fats that vegetarians don't get enough of and are important to immune and central nervous system functioning.
"['reduction', 'general', 'alleviate', 'required', 'order', 'harms']","In order to alleviate the harms of meat production, vegetarianism is not required by most people, only the general reduction of meat consumption."
"['captive', 'released', 'die', 'morally', 'wrong', 'able']","vegetarianism is morally wrong because the many animals now in captive will be released and won't be able to live in nature, so they will die"
"['autonomy', 'personal', 'violation', 'adopt']",We should not adopt vegetarianism because this is a violation of personal autonomy
"['chemical', 'vitamin', 'prone', 'inclusive']","Vegetarianism is prone to protein, vitamin B12, Zinc, and other important chemical deficiencies, making meat inclusive diets healthier."
"['happy', 'whatever']","Many people feel better on a meat-inclusive diet, and people should do whatever makes them happy and functional, so they should only adopt vegetarianism if they want to (not because of social coercion)."
"['born', 'whatever', 'choice', 'want', 'able']","Humans were born omnivores, so people should have the choice to do whatever they want and be able to eat meat."
"['country', 'heavily', 'bring']","We should not adopt vegetarianism because it would devastate communities that rely on livestock to bring in capital - like the entire country of Argentina, which depends heavily on beef."
"['readily', 'anemic', 'lack', 'accessible', 'sources', 'protein']",People will be anemic and lack protein if there aren't readily accessible sources
"['eat', 'pollutes', 'chicken', 'little', 'protect']",You do not have to adopt vegetarianism to protect the environment. You can eat chicken that pollutes less or just eat a little meat.
"['autonomy', 'personal', 'violation', 'adopt']",We should not adopt vegetarianism because this is a violation of personal autonomy
"['economic', 'cost', 'replaced', 'activity']",Adopting vegetarianism will have a massive economic cost since you will lose all jobs and economic activity from the meat industry and it will not be replaced by crops.
"['rights', 'relationship', 'stem', 'conception', 'fundamentally']","Rights stem from one's relationship with the state, meaning a vegetarian conception of rights for animals is fundamentally illogical."
"['nutritious', 'prepare', 'unfeasible', 'filling', 'know', 'although']","Although vegetables are cheaper, a lot of people don't know how to prepare filling and nutritious meals without meat, making vegetarianism unfeasible for many people."
"['adequate', 'absorbed', 'amounts', 'supplements', 'found', 'require']","Humans require B12, which is only found in adequate amounts in meat, and supplements aren't absorbed by some individuals, making a vegetarian lifestyle unhealthy"
"['bone', 'low']","Vegetarianism contributes to low bone density since there isn't enough calcium in the diet, which can cause long term issues with bone stability and strength."
"['access', 'pleasure', 'hurt', 'poor', 'around', 'means']","Most poor people around the world don't have access to meat alternatives, which means vegetarianism can hurt their health and food pleasure"
"['raised', 'deforestation', 'harvesting', 'considerable', 'takes', 'lead']",Harvesting plants for vegetarianism takes a considerable amount of land and would likely lead to deforestation if animals could not be raised
"['dies', 'crucial', 'main', 'source']","Meat is a main source of protein and iron, therefore meat is a crucial part of a healthy dies and vegetarianism is unhealthy"
"['autonomy', 'personal', 'violation', 'adopt']",We should not adopt vegetarianism because this is a violation of personal autonomy
"['information', 'force', 'idea', 'vegan', 'give', 'forced']","Adopting vegan life can’t be forced on people,we need to give them the information and idea but not force vegetarian"
"['millions', 'income', 'jeopardize', 'towns', 'hires']","The meat industry hires millions of workers around the world and is the main source of income for many towns and cities, vegetarianism would jeopardize the livelihood of millions."
"['harm', 'alrenatives', 'mostly', 'hard']","vegetarianism will harm our body, there are important things that are mostly found in meat that are hard to find alrenatives for (and those are pricier, which will harm the poor)"
"['millions', 'income', 'jeopardize', 'towns', 'hires']","The meat industry hires millions of workers around the world and is the main source of income for many towns and cities, vegetarianism would jeopardize the livelihood of millions."
"['staple', 'side', 'estrogen']","Soy, a major staple of the vegetarian diet due to being protein-rich, has many bad side effects like increasing estrogen levels and being high in glyphosate."
"['themself', 'beasue', 'supervision', 'portion', 'example', 'lack']","Most people who adopt vegetarianism, do it without supervision and hurt themself beasue if it, for example lack of Iron or portion"
"['nutritionally', 'easier', 'balanced', 'products', 'part', 'diet']",Eating a nutritionally balanced diet is easier if animal products are part of it
"['black', 'drug']","A black market created by enforced vegetarianism would make it easier for more dangerous black markets, such as the drug and weapons markets, to find social acceptance and hide among less heinous markets."
"['rigorous', 'planning', 'impossible', 'working', 'considerable']","Vegetarian diets can only be healthy with rigorous planning and considerable spending, which is impossible for many working people around the world."
"['alcohol', 'undermining']",Most banned substances have seen a greater use in society (as with alcohol in the US in the 1920s); by making a national policy adopting vegetarianism we risk increasing consumption and undermining our effort.
"['immune', 'central', 'nervous', 'system', 'provides', 'saturated']",Meat provides healthy saturated fats that vegetarians don't get enough of and are important to immune and central nervous system functioning.
"['banning', 'hurting', 'express', 'eating', 'traditions', 'cultures']",Many cultures have traditions of eating meat; by banning eating meat you are hurting the rights of humans to express themselves.
"['diversity', 'cuisine', 'accessible']","In food deserts, meat is more accessible than a diversity of vegetarian cuisine and ingredients."
"['raised', 'deforestation', 'harvesting', 'considerable', 'takes', 'lead']",Harvesting plants for vegetarianism takes a considerable amount of land and would likely lead to deforestation if animals could not be raised
"['dangerous', 'drive']","Many children develop eating disorders, which could be very dangerous. Vegetarianism sends a dangerous message that some food is wrong, and that can drive such disorders."
"['right', 'desires']","Any sort of legal requirement for vegetarianism would be unjust, as the right to consume what one desires should be a fundamental right so long as it doesn't violate another person's bodily autonomy."
"['prone', 'enough']","Vegetarian diets don't have enough iron, calcium, and other minerals, making people more prone to disease and injury."
"['areas', 'east', 'soil', 'africa', 'producing', 'efficient']","In some areas (e.g., East Africa and other poor soil areas), livestock is the most efficient means of producing food."
"['tastes', 'believe', 'decide', 'want', 'able', 'vegetables']",Many people believe meat tastes better than vegetables and they should be able to decide what they would want to eat and should not be forced to be vegetarian.
